cycle,seed,pid_before,kill_rc,disconnect_s,dwell_s,launch_rc,connect_s,subscribed_s,first_rx_s,status,anomalies,launch_err
71,20260912,1293,0,0.10509014129638672,0.0,0,0.8221321105957031,0.93107008934021,0.10516023635864258,PASS,,
72,20260912,1295,0,0.10510826110839844,0.2,0,0.7253057956695557,0.9244170188903809,0.10558009147644043,PASS,,
73,20260912,1297,0,0.20781493186950684,3.0,0,0.6159088611602783,0.9257340431213379,0.10248208045959473,PASS,,
74,20260912,1299,0,0.20788311958312988,1.0,0,0.6225731372833252,1.0411419868469238,0.10213971138000488,PASS,,
75,20260912,1301,0,0.20423030853271484,1.0,0,0.618480920791626,0.9268889427185059,0.10300588607788086,PASS,,
76,20260912,1303,0,0.10519599914550781,0.0,0,0.6198389530181885,0.9307780265808105,0.10243391990661621,PASS,,
77,20260912,1305,0,0.2103562355041504,0.0,0,0.626507043838501,0.8336029052734375,0.10528302192687988,PASS,,
78,20260912,1307,0,0.2060868740081787,0.2,0,0.7251551151275635,0.9240310192108154,5.7697296142578125e-05,PASS,,
79,20260912,1309,0,0.20788192749023438,0.2,0,0.6217288970947266,0.9312782287597656,0.1045830249786377,PASS,,
80,20260912,1311,0,0.20984601974487305,0.5,0,0.6222310066223145,0.9168062210083008,0.10448288917541504,PASS,,
81,20260912,1313,0,0.10520601272583008,0.2,0,0.6181960105895996,0.839155912399292,0.10537028312683105,PASS,,
82,20260912,1315,0,0.20612192153930664,0.0,0,0.7263801097869873,0.937830924987793,0.10524678230285645,PASS,,
83,20260912,1317,0,0.20740699768066406,0.2,0,0.72607421875,0.9309158325195312,0.10143589973449707,PASS,,
84,20260912,1319,0,0.10129618644714355,1.0,0,0.6190218925476074,1.0365519523620605,8.821487426757812e-05,PASS,,
85,20260912,1324,0,0.2041158676147461,2.0,0,0.6152439117431641,0.8299450874328613,0.20462322235107422,PASS,,
86,20260912,1326,0,0.10525679588317871,0.0,0,0.720250129699707,0.82834792137146,0.2081308364868164,PASS,,
87,20260912,1328,0,0.1049489974975586,3.0,0,0.6264126300811768,1.0327837467193604,0.20536112785339355,PASS,,
88,20260912,1330,0,0.20288491249084473,3.0,0,1.0313079357147217,0.8327369689941406,0.20636391639709473,PASS,,
89,20260912,1332,0,0.20825791358947754,0.0,0,0.3103048801422119,0.9316902160644531,0.10111021995544434,PASS,,
90,20260912,1334,0,0.10128998756408691,2.0,0,0.6165921688079834,0.9368419647216797,0.1050710678100586,PASS,,
91,20260912,1336,0,0.21024179458618164,2.0,0,0.5152609348297119,0.9327359199523926,0.20544004440307617,PASS,,
92,20260912,1338,0,0.2051100730895996,2.0,0,1.047523021697998,0.9338293075561523,0.20742392539978027,PASS,,
93,20260912,1340,0,0.1019589900970459,0.2,0,0.6207730770111084,0.9346890449523926,0.10363602638244629,PASS,,
94,20260912,1342,0,0.10302400588989258,2.0,0,0.6147360801696777,0.8315320014953613,0.20554614067077637,PASS,,
95,20260912,1344,0,0.10446500778198242,2.0,0,0.5172181129455566,0.8274762630462646,0.20589995384216309,PASS,,
96,20260912,1346,0,0.10458803176879883,0.5,0,0.620368242263794,0.925818920135498,0.10215306282043457,PASS,,
97,20260912,1348,0,0.10060691833496094,0.0,0,0.7245478630065918,0.8240501880645752,0.10518693923950195,PASS,,
98,20260912,1350,0,0.20196199417114258,0.0,0,0.6176431179046631,0.9220890998840332,0.10489392280578613,PASS,,
99,20260912,1352,0,0.10425806045532227,3.0,0,0.6213419437408447,0.928703784942627,0.10485601425170898,PASS,,
