t0_ms,t1_ms,dt_ms,idx0,idx1,count,advance,fps,excluded
5396754,5397754,1000,110,120,325,10,10.0,0
5397754,5398754,1000,120,130,325,10,10.0,0
5398754,5399754,1000,130,140,325,10,10.0,0
5399754,5400754,1000,140,150,325,10,10.0,0
5400754,5401754,1000,150,160,325,10,10.0,0
5401754,5402754,1000,160,170,325,10,10.0,0
5402754,5403754,1000,170,180,325,10,10.0,0
5403754,5404754,1000,180,190,325,10,10.0,0
5404754,5405754,1000,190,200,325,10,10.0,0
5405754,5406754,1000,200,210,325,10,10.0,0
5406754,5407754,1000,210,220,325,10,10.0,0
5407754,5408754,1000,220,230,325,10,10.0,0
5408754,5409754,1000,230,240,325,10,10.0,0
5409754,5410754,1000,240,250,325,10,10.0,0
5410754,5411754,1000,250,260,325,10,10.0,0
5411754,5412754,1000,260,270,325,10,10.0,0
5412754,5413754,1000,270,280,325,10,10.0,0
5413754,5414754,1000,280,290,325,10,10.0,0
5414754,5415754,1000,290,300,325,10,10.0,0
5415754,5416754,1000,300,310,325,10,10.0,0
5416754,5417754,1000,310,320,325,10,10.0,0
5417754,5418754,1000,320,5,325,10,10.0,0
5418754,5419754,1000,5,15,325,10,10.0,0
5419754,5420754,1000,15,25,325,10,10.0,0
5420754,5421754,1000,25,35,325,10,10.0,0
5421754,5422754,1000,35,45,325,10,10.0,0
5422754,5423754,1000,45,55,325,10,10.0,0
5423754,5424754,1000,55,65,325,10,10.0,0
5424754,5425754,1000,65,75,325,10,10.0,0
5425754,5426754,1000,75,85,325,10,10.0,0
5426754,5427754,1000,85,95,325,10,10.0,0
5427754,5428754,1000,95,105,325,10,10.0,0
5428754,5429754,1000,105,115,325,10,10.0,0
5429754,5430754,1000,115,125,325,10,10.0,0
5430754,5431754,1000,125,135,325,10,10.0,0
5431754,5432754,1000,135,145,325,10,10.0,0
5432754,5433754,1000,145,155,325,10,10.0,0
5433754,5434754,1000,155,165,325,10,10.0,0
5434754,5435754,1000,165,175,325,10,10.0,0
5435754,5436754,1000,175,185,325,10,10.0,0
5436754,5437754,1000,185,195,325,10,10.0,0
5437754,5438754,1000,195,205,325,10,10.0,0
5438754,5439754,1000,205,215,325,10,10.0,0
5439754,5440754,1000,215,225,325,10,10.0,0
5440754,5441754,1000,225,235,325,10,10.0,0
5441754,5442754,1000,235,245,325,10,10.0,0
5442754,5443754,1000,245,255,325,10,10.0,0
5443754,5444754,1000,255,265,325,10,10.0,0
5444754,5445754,1000,265,275,325,10,10.0,0
5445754,5446754,1000,275,285,325,10,10.0,0
5446754,5447754,1000,285,295,325,10,10.0,0
5447754,5448754,1000,295,305,325,10,10.0,0
5448754,5449754,1000,305,315,325,10,10.0,0
5449754,5450754,1000,315,0,325,10,10.0,0
5450754,5451754,1000,0,10,325,10,10.0,0
5451754,5452754,1000,10,20,325,10,10.0,0
5452754,5453754,1000,20,30,325,10,10.0,0
5453754,5454754,1000,30,40,325,10,10.0,0
5454754,5455754,1000,40,50,325,10,10.0,0
5455754,5456754,1000,50,60,325,10,10.0,0
5456754,5457754,1000,60,70,325,10,10.0,0
5457754,5458754,1000,70,80,325,10,10.0,0
5458754,5459754,1000,80,90,325,10,10.0,0
5459754,5460754,1000,90,100,325,10,10.0,0
5460754,5461754,1000,100,110,325,10,10.0,0
5461754,5462754,1000,110,120,325,10,10.0,0
5462754,5463754,1000,120,130,325,10,10.0,0
5463754,5464754,1000,130,140,325,10,10.0,0
5464754,5465754,1000,140,150,325,10,10.0,0
5465754,5466754,1000,150,160,325,10,10.0,0
5466754,5467754,1000,160,170,325,10,10.0,0
5467754,5468754,1000,170,180,325,10,10.0,0
5468754,5469754,1000,180,190,325,10,10.0,0
5469754,5470754,1000,190,200,325,10,10.0,0
5470754,5471754,1000,200,210,325,10,10.0,0
5471754,5472754,1000,210,220,325,10,10.0,0
5472754,5473754,1000,220,230,325,10,10.0,0
5473754,5474754,1000,230,240,325,10,10.0,0
5474754,5475754,1000,240,250,325,10,10.0,0
5475754,5476754,1000,250,260,325,10,10.0,0
5476754,5477754,1000,260,270,325,10,10.0,0
5477754,5478754,1000,270,280,325,10,10.0,0
5478754,5479754,1000,280,290,325,10,10.0,0
5479754,5480754,1000,290,300,325,10,10.0,0
5480754,5481754,1000,300,310,325,10,10.0,0
5481754,5482754,1000,310,320,325,10,10.0,0
5482754,5483754,1000,320,5,325,10,10.0,0
5483754,5484754,1000,5,15,325,10,10.0,0
5484754,5485754,1000,15,25,325,10,10.0,0
5485754,5486754,1000,25,35,325,10,10.0,0
5486754,5487754,1000,35,45,325,10,10.0,0
5487754,5488754,1000,45,55,325,10,10.0,0
5488754,5489754,1000,55,65,325,10,10.0,0
5489754,5490754,1000,65,75,325,10,10.0,0
5490754,5491754,1000,75,85,325,10,10.0,0
5491754,5492754,1000,85,95,325,10,10.0,0
5492754,5493754,1000,95,105,325,10,10.0,0
5493754,5494754,1000,105,115,325,10,10.0,0
5494754,5495754,1000,115,125,325,10,10.0,0
5495754,5496754,1000,125,135,325,10,10.0,0
5496754,5497754,1000,135,145,325,10,10.0,0
5497754,5498754,1000,145,155,325,10,10.0,0
5498754,5499754,1000,155,165,325,10,10.0,0
5499754,5500754,1000,165,175,325,10,10.0,0
5500754,5501754,1000,175,185,325,10,10.0,0
5501754,5502754,1000,185,195,325,10,10.0,0
5502754,5503754,1000,195,205,325,10,10.0,0
5503754,5504754,1000,205,215,325,10,10.0,0
5504754,5505754,1000,215,225,325,10,10.0,0
5505754,5506754,1000,225,235,325,10,10.0,0
