board_ms,event,detail
2859817,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2859822,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2860117,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2860122,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2860327,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2860331,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2860627,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2860633,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2860807,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2860812,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2861047,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2861052,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2861137,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2861141,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2861347,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2861351,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2861499,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2861503,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2861617,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2861621,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2861947,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2861951,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2862037,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2862042,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2862307,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2862311,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2862427,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2862431,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2862937,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2862941,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2863447,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2863451,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2863837,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2863842,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2864017,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2864021,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2864197,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2864202,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2864707,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2864712,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2864947,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2864952,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2865037,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2865042,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2865127,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2865132,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2865337,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2865341,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2865427,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2865434,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2865517,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2865522,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2865697,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2865702,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2865907,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2865912,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2866238,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2866243,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2866447,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2866452,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2866538,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2866544,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2866718,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2866722,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2867047,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2867051,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2867137,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2867142,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2867197,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2867201,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2867647,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2867651,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2867917,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2867923,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2868517,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2868521,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2868997,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2869002,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2869237,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2869242,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2869567,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2869571,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2869717,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2869722,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2869807,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2869812,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2869927,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2869932,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2870107,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2870111,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2870437,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2870441,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2870827,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2870832,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2870918,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2870923,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2871187,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2871191,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2871517,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2871521,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2871937,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2871942,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2872327,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2872332,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2872537,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2872541,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2872717,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2872722,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2873017,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2873022,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2873497,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2873502,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2873647,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2873651,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2873947,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2873952,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2874547,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2874552,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2874637,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2874644,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2874937,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2874942,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2875027,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2875032,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2875417,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2875422,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2876047,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2876052,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2876227,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2876231,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2876407,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2876411,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2876527,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2876531,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2876738,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2876743,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2876797,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2876801,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2876947,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2876951,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2877157,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2877162,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2878117,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2878121,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2878207,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2878212,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2878717,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2878722,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2879737,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2879742,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2879947,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2879951,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2881537,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2881541,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2881628,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2881635,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2881748,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2881755,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2881837,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2881841,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2882047,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2882052,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2883847,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2883851,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2884027,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2884032,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2884507,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2884511,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2892127,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2892131,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2892997,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2893002,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2899477,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2899481,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
2899957,rx_write,handle=1 slot=0 bytes=66 accepted=66 free_before=4166
2899962,tx_frame,handle=1 slot=0 bytes=365 slices=2 mtu=255 kind=reply
